TOTAL,AREA,HOUR,LONG,LAT
1,377,14,7.624465829,45.00869773
1,381,10,7.649880842,45.00869773
1,381,12,7.649880842,45.00869773
1,382,16,7.656234595,45.00869773
1,382,18,7.656234595,45.00869773
1,415,10,7.611758322,45.01319292
1,417,1,7.624465829,45.01319292
1,417,13,7.624465829,45.01319292
3,417,14,7.624465829,45.01319292
1,419,0,7.637173335,45.01319292
1,419,9,7.637173335,45.01319292
2,419,12,7.637173335,45.01319292
2,419,13,7.637173335,45.01319292
1,421,0,7.649880842,45.01319292
1,421,7,7.649880842,45.01319292
1,421,13,7.649880842,45.01319292
1,422,9,7.656234595,45.01319292
1,422,13,7.656234595,45.01319292
1,422,14,7.656234595,45.01319292
1,423,10,7.662588348,45.01319292
1,423,12,7.662588348,45.01319292
2,423,13,7.662588348,45.01319292
1,423,15,7.662588348,45.01319292
1,423,16,7.662588348,45.01319292
2,423,17,7.662588348,45.01319292
1,423,19,7.662588348,45.01319292
1,423,20,7.662588348,45.01319292
1,457,1,7.624465829,45.01768812
1,458,18,7.630819582,45.01768812
1,458,19,7.630819582,45.01768812
1,459,0,7.637173335,45.01768812
1,459,2,7.637173335,45.01768812
1,459,7,7.637173335,45.01768812
1,459,12,7.637173335,45.01768812
1,459,14,7.637173335,45.01768812
1,459,18,7.637173335,45.01768812
1,460,9,7.643527088,45.01768812
1,460,10,7.643527088,45.01768812
1,460,12,7.643527088,45.01768812
1,461,2,7.649880842,45.01768812
1,461,9,7.649880842,45.01768812
1,461,11,7.649880842,45.01768812
1,461,14,7.649880842,45.01768812
1,461,15,7.649880842,45.01768812
1,461,17,7.649880842,45.01768812
1,461,22,7.649880842,45.01768812
1,462,13,7.656234595,45.01768812
1,462,17,7.656234595,45.01768812
1,462,18,7.656234595,45.01768812
1,462,22,7.656234595,45.01768812
1,463,8,7.662588348,45.01768812
1,463,15,7.662588348,45.01768812
1,463,17,7.662588348,45.01768812
1,463,18,7.662588348,45.01768812
2,463,19,7.662588348,45.01768812
1,464,13,7.668942101,45.01768812
2,499,11,7.637173335,45.02218332
2,499,12,7.637173335,45.02218332
2,499,14,7.637173335,45.02218332
2,499,15,7.637173335,45.02218332
1,499,19,7.637173335,45.02218332
1,500,1,7.643527088,45.02218332
2,500,13,7.643527088,45.02218332
1,500,17,7.643527088,45.02218332
1,500,18,7.643527088,45.02218332
1,502,8,7.656234595,45.02218332
1,502,11,7.656234595,45.02218332
2,502,12,7.656234595,45.02218332
1,502,13,7.656234595,45.02218332
4,502,16,7.656234595,45.02218332
1,502,19,7.656234595,45.02218332
1,502,20,7.656234595,45.02218332
1,503,15,7.662588348,45.02218332
1,504,10,7.668942101,45.02218332
1,504,19,7.668942101,45.02218332
1,539,16,7.637173335,45.02667851
1,539,17,7.637173335,45.02667851
1,539,19,7.637173335,45.02667851
1,539,23,7.637173335,45.02667851
1,540,1,7.643527088,45.02667851
1,540,8,7.643527088,45.02667851
1,540,13,7.643527088,45.02667851
1,540,19,7.643527088,45.02667851
1,541,2,7.649880842,45.02667851
1,541,10,7.649880842,45.02667851
1,541,15,7.649880842,45.02667851
1,541,17,7.649880842,45.02667851
1,542,13,7.656234595,45.02667851
1,544,1,7.668942101,45.02667851
1,544,9,7.668942101,45.02667851
3,544,11,7.668942101,45.02667851
1,544,15,7.668942101,45.02667851
2,544,16,7.668942101,45.02667851
1,544,17,7.668942101,45.02667851
2,544,18,7.668942101,45.02667851
1,544,19,7.668942101,45.02667851
4,544,20,7.668942101,45.02667851
2,577,5,7.624465829,45.03117371
1,577,10,7.624465829,45.03117371
1,577,17,7.624465829,45.03117371
1,577,18,7.624465829,45.03117371
1,577,19,7.624465829,45.03117371
1,579,0,7.637173335,45.03117371
1,579,3,7.637173335,45.03117371
2,579,9,7.637173335,45.03117371
1,580,0,7.643527088,45.03117371
1,580,2,7.643527088,45.03117371
1,580,8,7.643527088,45.03117371
2,580,12,7.643527088,45.03117371
1,581,2,7.649880842,45.03117371
1,581,11,7.649880842,45.03117371
2,581,12,7.649880842,45.03117371
1,581,14,7.649880842,45.03117371
1,581,16,7.649880842,45.03117371
1,581,18,7.649880842,45.03117371
2,581,19,7.649880842,45.03117371
1,581,21,7.649880842,45.03117371
1,581,22,7.649880842,45.03117371
1,582,0,7.656234595,45.03117371
1,582,2,7.656234595,45.03117371
1,582,7,7.656234595,45.03117371
1,582,10,7.656234595,45.03117371
3,582,11,7.656234595,45.03117371
3,582,12,7.656234595,45.03117371
1,582,14,7.656234595,45.03117371
2,582,15,7.656234595,45.03117371
3,582,16,7.656234595,45.03117371
3,582,18,7.656234595,45.03117371
2,582,19,7.656234595,45.03117371
1,584,0,7.668942101,45.03117371
1,584,10,7.668942101,45.03117371
3,584,11,7.668942101,45.03117371
3,584,12,7.668942101,45.03117371
1,584,13,7.668942101,45.03117371
3,584,14,7.668942101,45.03117371
2,584,15,7.668942101,45.03117371
1,584,16,7.668942101,45.03117371
2,584,17,7.668942101,45.03117371
2,584,18,7.668942101,45.03117371
2,584,20,7.668942101,45.03117371
1,585,3,7.675295855,45.03117371
1,585,10,7.675295855,45.03117371
1,586,9,7.681649608,45.03117371
1,586,14,7.681649608,45.03117371
1,616,6,7.618112075,45.03566891
1,616,11,7.618112075,45.03566891
3,617,13,7.624465829,45.03566891
2,617,14,7.624465829,45.03566891
1,617,15,7.624465829,45.03566891
1,617,19,7.624465829,45.03566891
1,617,20,7.624465829,45.03566891
1,618,0,7.630819582,45.03566891
2,618,8,7.630819582,45.03566891
1,619,1,7.637173335,45.03566891
1,619,6,7.637173335,45.03566891
1,619,9,7.637173335,45.03566891
2,619,16,7.637173335,45.03566891
1,619,18,7.637173335,45.03566891
1,620,0,7.643527088,45.03566891
1,620,1,7.643527088,45.03566891
1,620,2,7.643527088,45.03566891
2,620,12,7.643527088,45.03566891
1,620,15,7.643527088,45.03566891
2,620,17,7.643527088,45.03566891
1,620,19,7.643527088,45.03566891
1,620,20,7.643527088,45.03566891
1,621,2,7.649880842,45.03566891
1,621,9,7.649880842,45.03566891
2,621,12,7.649880842,45.03566891
1,621,13,7.649880842,45.03566891
2,621,14,7.649880842,45.03566891
1,621,15,7.649880842,45.03566891
1,621,17,7.649880842,45.03566891
2,622,6,7.656234595,45.03566891
1,622,9,7.656234595,45.03566891
1,622,15,7.656234595,45.03566891
1,622,17,7.656234595,45.03566891
1,622,22,7.656234595,45.03566891
1,623,0,7.662588348,45.03566891
1,623,20,7.662588348,45.03566891
1,623,22,7.662588348,45.03566891
1,624,0,7.668942101,45.03566891
2,624,17,7.668942101,45.03566891
1,624,21,7.668942101,45.03566891
2,625,1,7.675295855,45.03566891
1,625,7,7.675295855,45.03566891
1,625,16,7.675295855,45.03566891
1,625,18,7.675295855,45.03566891
2,625,20,7.675295855,45.03566891
1,626,10,7.681649608,45.03566891
1,626,14,7.681649608,45.03566891
1,626,17,7.681649608,45.03566891
1,626,21,7.681649608,45.03566891
1,657,14,7.624465829,45.0401641
1,657,16,7.624465829,45.0401641
1,658,2,7.630819582,45.0401641
1,658,3,7.630819582,45.0401641
1,658,6,7.630819582,45.0401641
1,658,14,7.630819582,45.0401641
3,658,16,7.630819582,45.0401641
1,658,23,7.630819582,45.0401641
1,659,7,7.637173335,45.0401641
2,659,9,7.637173335,45.0401641
3,659,11,7.637173335,45.0401641
1,659,13,7.637173335,45.0401641
1,659,15,7.637173335,45.0401641
1,659,16,7.637173335,45.0401641
1,659,19,7.637173335,45.0401641
1,660,1,7.643527088,45.0401641
1,660,11,7.643527088,45.0401641
1,660,13,7.643527088,45.0401641
1,660,19,7.643527088,45.0401641
1,660,20,7.643527088,45.0401641
1,660,21,7.643527088,45.0401641
1,661,1,7.649880842,45.0401641
2,661,11,7.649880842,45.0401641
1,661,19,7.649880842,45.0401641
2,661,20,7.649880842,45.0401641
1,662,8,7.656234595,45.0401641
1,662,10,7.656234595,45.0401641
1,662,17,7.656234595,45.0401641
1,662,18,7.656234595,45.0401641
1,662,22,7.656234595,45.0401641
1,663,12,7.662588348,45.0401641
1,663,15,7.662588348,45.0401641
2,663,16,7.662588348,45.0401641
1,663,17,7.662588348,45.0401641
2,663,19,7.662588348,45.0401641
2,663,20,7.662588348,45.0401641
2,663,21,7.662588348,45.0401641
2,664,4,7.668942101,45.0401641
1,664,6,7.668942101,45.0401641
1,664,7,7.668942101,45.0401641
1,664,12,7.668942101,45.0401641
1,664,15,7.668942101,45.0401641
4,664,16,7.668942101,45.0401641
1,664,17,7.668942101,45.0401641
1,664,19,7.668942101,45.0401641
2,664,20,7.668942101,45.0401641
1,665,0,7.675295855,45.0401641
1,665,5,7.675295855,45.0401641
1,665,6,7.675295855,45.0401641
1,665,8,7.675295855,45.0401641
2,665,10,7.675295855,45.0401641
2,665,11,7.675295855,45.0401641
2,665,12,7.675295855,45.0401641
1,665,14,7.675295855,45.0401641
1,665,15,7.675295855,45.0401641
1,665,16,7.675295855,45.0401641
2,665,17,7.675295855,45.0401641
3,665,18,7.675295855,45.0401641
1,665,19,7.675295855,45.0401641
2,665,20,7.675295855,45.0401641
1,665,21,7.675295855,45.0401641
2,665,22,7.675295855,45.0401641
1,665,23,7.675295855,45.0401641
1,666,0,7.681649608,45.0401641
1,666,4,7.681649608,45.0401641
1,666,9,7.681649608,45.0401641
1,666,10,7.681649608,45.0401641
1,666,11,7.681649608,45.0401641
2,666,13,7.681649608,45.0401641
1,666,14,7.681649608,45.0401641
1,666,16,7.681649608,45.0401641
1,666,20,7.681649608,45.0401641
1,666,22,7.681649608,45.0401641
1,667,11,7.688003361,45.0401641
1,667,12,7.688003361,45.0401641
1,697,17,7.624465829,45.0446593
1,698,6,7.630819582,45.0446593
1,698,13,7.630819582,45.0446593
1,698,16,7.630819582,45.0446593
1,698,20,7.630819582,45.0446593
1,699,2,7.637173335,45.0446593
1,699,5,7.637173335,45.0446593
1,699,9,7.637173335,45.0446593
1,699,11,7.637173335,45.0446593
1,699,15,7.637173335,45.0446593
1,699,19,7.637173335,45.0446593
2,699,23,7.637173335,45.0446593
1,700,3,7.643527088,45.0446593
1,700,7,7.643527088,45.0446593
1,700,9,7.643527088,45.0446593
1,700,11,7.643527088,45.0446593
1,700,15,7.643527088,45.0446593
1,700,16,7.643527088,45.0446593
1,700,17,7.643527088,45.0446593
1,700,18,7.643527088,45.0446593
2,700,19,7.643527088,45.0446593
2,700,20,7.643527088,45.0446593
1,700,22,7.643527088,45.0446593
1,701,2,7.649880842,45.0446593
1,701,8,7.649880842,45.0446593
1,701,9,7.649880842,45.0446593
1,701,10,7.649880842,45.0446593
2,701,11,7.649880842,45.0446593
2,701,17,7.649880842,45.0446593
1,701,23,7.649880842,45.0446593
1,702,13,7.656234595,45.0446593
1,702,19,7.656234595,45.0446593
1,703,2,7.662588348,45.0446593
2,703,8,7.662588348,45.0446593
1,703,9,7.662588348,45.0446593
2,703,10,7.662588348,45.0446593
1,703,12,7.662588348,45.0446593
2,703,14,7.662588348,45.0446593
1,703,15,7.662588348,45.0446593
1,703,18,7.662588348,45.0446593
1,703,19,7.662588348,45.0446593
2,703,20,7.662588348,45.0446593
1,703,21,7.662588348,45.0446593
1,703,22,7.662588348,45.0446593
2,704,0,7.668942101,45.0446593
1,704,1,7.668942101,45.0446593
2,704,6,7.668942101,45.0446593
1,704,9,7.668942101,45.0446593
1,704,10,7.668942101,45.0446593
2,704,13,7.668942101,45.0446593
2,704,17,7.668942101,45.0446593
1,704,18,7.668942101,45.0446593
1,704,19,7.668942101,45.0446593
1,705,7,7.675295855,45.0446593
1,705,9,7.675295855,45.0446593
1,705,10,7.675295855,45.0446593
2,705,12,7.675295855,45.0446593
2,705,13,7.675295855,45.0446593
1,705,15,7.675295855,45.0446593
3,705,16,7.675295855,45.0446593
2,705,17,7.675295855,45.0446593
3,705,18,7.675295855,45.0446593
4,705,19,7.675295855,45.0446593
1,705,20,7.675295855,45.0446593
1,705,22,7.675295855,45.0446593
1,705,23,7.675295855,45.0446593
2,706,0,7.681649608,45.0446593
1,706,1,7.681649608,45.0446593
1,706,9,7.681649608,45.0446593
1,706,15,7.681649608,45.0446593
2,706,17,7.681649608,45.0446593
1,706,19,7.681649608,45.0446593
4,706,20,7.681649608,45.0446593
1,706,22,7.681649608,45.0446593
1,735,8,7.611758322,45.0491545
1,735,9,7.611758322,45.0491545
1,735,10,7.611758322,45.0491545
1,735,12,7.611758322,45.0491545
1,735,13,7.611758322,45.0491545
2,735,15,7.611758322,45.0491545
1,735,16,7.611758322,45.0491545
2,735,18,7.611758322,45.0491545
1,737,0,7.624465829,45.0491545
1,737,18,7.624465829,45.0491545
1,738,2,7.630819582,45.0491545
1,738,7,7.630819582,45.0491545
1,738,12,7.630819582,45.0491545
1,738,14,7.630819582,45.0491545
2,738,15,7.630819582,45.0491545
1,738,21,7.630819582,45.0491545
1,739,10,7.637173335,45.0491545
2,739,11,7.637173335,45.0491545
1,739,13,7.637173335,45.0491545
1,739,18,7.637173335,45.0491545
1,739,20,7.637173335,45.0491545
1,739,21,7.637173335,45.0491545
1,740,2,7.643527088,45.0491545
1,740,10,7.643527088,45.0491545
1,740,11,7.643527088,45.0491545
1,740,17,7.643527088,45.0491545
1,740,18,7.643527088,45.0491545
2,740,19,7.643527088,45.0491545
1,741,0,7.649880842,45.0491545
1,741,1,7.649880842,45.0491545
1,741,7,7.649880842,45.0491545
2,741,9,7.649880842,45.0491545
1,741,10,7.649880842,45.0491545
1,741,11,7.649880842,45.0491545
1,741,12,7.649880842,45.0491545
2,741,14,7.649880842,45.0491545
1,741,17,7.649880842,45.0491545
3,741,18,7.649880842,45.0491545
2,741,19,7.649880842,45.0491545
1,741,20,7.649880842,45.0491545
2,741,21,7.649880842,45.0491545
2,741,22,7.649880842,45.0491545
1,741,23,7.649880842,45.0491545
2,742,0,7.656234595,45.0491545
1,742,10,7.656234595,45.0491545
1,742,11,7.656234595,45.0491545
1,742,14,7.656234595,45.0491545
1,742,15,7.656234595,45.0491545
1,742,16,7.656234595,45.0491545
2,742,17,7.656234595,45.0491545
1,742,18,7.656234595,45.0491545
1,742,19,7.656234595,45.0491545
1,742,21,7.656234595,45.0491545
2,742,22,7.656234595,45.0491545
1,743,0,7.662588348,45.0491545
2,743,9,7.662588348,45.0491545
1,743,10,7.662588348,45.0491545
4,743,11,7.662588348,45.0491545
3,743,12,7.662588348,45.0491545
3,743,13,7.662588348,45.0491545
4,743,15,7.662588348,45.0491545
3,743,16,7.662588348,45.0491545
5,743,17,7.662588348,45.0491545
4,743,18,7.662588348,45.0491545
1,743,19,7.662588348,45.0491545
2,743,20,7.662588348,45.0491545
1,743,22,7.662588348,45.0491545
1,744,0,7.668942101,45.0491545
1,744,7,7.668942101,45.0491545
1,744,11,7.668942101,45.0491545
1,744,13,7.668942101,45.0491545
1,744,14,7.668942101,45.0491545
1,744,20,7.668942101,45.0491545
1,744,21,7.668942101,45.0491545
1,744,23,7.668942101,45.0491545
1,745,0,7.675295855,45.0491545
2,745,1,7.675295855,45.0491545
1,745,7,7.675295855,45.0491545
3,745,8,7.675295855,45.0491545
2,745,12,7.675295855,45.0491545
6,745,16,7.675295855,45.0491545
1,745,17,7.675295855,45.0491545
2,745,18,7.675295855,45.0491545
3,745,19,7.675295855,45.0491545
1,745,20,7.675295855,45.0491545
1,745,22,7.675295855,45.0491545
1,745,23,7.675295855,45.0491545
2,746,0,7.681649608,45.0491545
3,746,1,7.681649608,45.0491545
2,746,10,7.681649608,45.0491545
1,746,11,7.681649608,45.0491545
1,746,12,7.681649608,45.0491545
2,746,13,7.681649608,45.0491545
1,746,14,7.681649608,45.0491545
2,746,16,7.681649608,45.0491545
3,746,17,7.681649608,45.0491545
2,746,18,7.681649608,45.0491545
8,746,20,7.681649608,45.0491545
2,746,21,7.681649608,45.0491545
1,746,23,7.681649608,45.0491545
1,778,1,7.630819582,45.0536497
1,778,16,7.630819582,45.0536497
1,778,21,7.630819582,45.0536497
2,779,9,7.637173335,45.0536497
1,779,10,7.637173335,45.0536497
2,779,15,7.637173335,45.0536497
1,779,16,7.637173335,45.0536497
5,779,17,7.637173335,45.0536497
1,780,4,7.643527088,45.0536497
1,780,10,7.643527088,45.0536497
1,780,11,7.643527088,45.0536497
2,780,12,7.643527088,45.0536497
2,780,13,7.643527088,45.0536497
1,780,16,7.643527088,45.0536497
1,780,17,7.643527088,45.0536497
1,780,18,7.643527088,45.0536497
2,780,19,7.643527088,45.0536497
3,780,20,7.643527088,45.0536497
1,780,21,7.643527088,45.0536497
1,780,23,7.643527088,45.0536497
1,781,0,7.649880842,45.0536497
2,781,2,7.649880842,45.0536497
1,781,5,7.649880842,45.0536497
1,781,6,7.649880842,45.0536497
1,781,7,7.649880842,45.0536497
1,781,11,7.649880842,45.0536497
2,781,12,7.649880842,45.0536497
1,781,13,7.649880842,45.0536497
1,781,15,7.649880842,45.0536497
3,781,16,7.649880842,45.0536497
2,781,18,7.649880842,45.0536497
2,781,20,7.649880842,45.0536497
1,781,21,7.649880842,45.0536497
1,781,22,7.649880842,45.0536497
4,782,0,7.656234595,45.0536497
2,782,2,7.656234595,45.0536497
2,782,3,7.656234595,45.0536497
1,782,7,7.656234595,45.0536497
2,782,9,7.656234595,45.0536497
5,782,10,7.656234595,45.0536497
2,782,11,7.656234595,45.0536497
3,782,12,7.656234595,45.0536497
3,782,13,7.656234595,45.0536497
1,782,14,7.656234595,45.0536497
3,782,15,7.656234595,45.0536497
2,782,16,7.656234595,45.0536497
2,782,17,7.656234595,45.0536497
3,782,18,7.656234595,45.0536497
2,782,21,7.656234595,45.0536497
2,782,22,7.656234595,45.0536497
2,782,23,7.656234595,45.0536497
1,783,1,7.662588348,45.0536497
1,783,2,7.662588348,45.0536497
2,783,4,7.662588348,45.0536497
2,783,6,7.662588348,45.0536497
2,783,7,7.662588348,45.0536497
3,783,8,7.662588348,45.0536497
3,783,9,7.662588348,45.0536497
1,783,10,7.662588348,45.0536497
2,783,14,7.662588348,45.0536497
2,783,16,7.662588348,45.0536497
5,783,17,7.662588348,45.0536497
1,783,18,7.662588348,45.0536497
4,783,19,7.662588348,45.0536497
2,783,20,7.662588348,45.0536497
3,783,21,7.662588348,45.0536497
4,783,23,7.662588348,45.0536497
4,784,1,7.668942101,45.0536497
1,784,8,7.668942101,45.0536497
2,784,11,7.668942101,45.0536497
2,784,12,7.668942101,45.0536497
2,784,13,7.668942101,45.0536497
2,784,14,7.668942101,45.0536497
2,784,16,7.668942101,45.0536497
3,784,17,7.668942101,45.0536497
1,784,18,7.668942101,45.0536497
2,784,19,7.668942101,45.0536497
3,784,20,7.668942101,45.0536497
2,784,21,7.668942101,45.0536497
1,784,22,7.668942101,45.0536497
2,784,23,7.668942101,45.0536497
3,785,0,7.675295855,45.0536497
3,785,1,7.675295855,45.0536497
2,785,4,7.675295855,45.0536497
2,785,7,7.675295855,45.0536497
1,785,8,7.675295855,45.0536497
3,785,9,7.675295855,45.0536497
2,785,10,7.675295855,45.0536497
1,785,11,7.675295855,45.0536497
3,785,12,7.675295855,45.0536497
1,785,13,7.675295855,45.0536497
2,785,14,7.675295855,45.0536497
2,785,15,7.675295855,45.0536497
3,785,16,7.675295855,45.0536497
2,785,17,7.675295855,45.0536497
2,785,19,7.675295855,45.0536497
6,785,20,7.675295855,45.0536497
3,785,21,7.675295855,45.0536497
2,785,22,7.675295855,45.0536497
1,785,23,7.675295855,45.0536497
4,786,0,7.681649608,45.0536497
1,786,2,7.681649608,45.0536497
1,786,3,7.681649608,45.0536497
1,786,4,7.681649608,45.0536497
1,786,5,7.681649608,45.0536497
1,786,6,7.681649608,45.0536497
1,786,9,7.681649608,45.0536497
4,786,11,7.681649608,45.0536497
1,786,12,7.681649608,45.0536497
1,786,13,7.681649608,45.0536497
2,786,14,7.681649608,45.0536497
1,786,15,7.681649608,45.0536497
2,786,16,7.681649608,45.0536497
1,786,17,7.681649608,45.0536497
5,786,18,7.681649608,45.0536497
6,786,19,7.681649608,45.0536497
1,786,20,7.681649608,45.0536497
2,786,21,7.681649608,45.0536497
12,786,22,7.681649608,45.0536497
3,786,23,7.681649608,45.0536497
1,787,9,7.688003361,45.0536497
1,787,11,7.688003361,45.0536497
2,787,12,7.688003361,45.0536497
1,787,15,7.688003361,45.0536497
3,787,16,7.688003361,45.0536497
4,787,17,7.688003361,45.0536497
2,787,18,7.688003361,45.0536497
3,787,19,7.688003361,45.0536497
4,787,20,7.688003361,45.0536497
1,787,22,7.688003361,45.0536497
2,788,1,7.694357114,45.0536497
3,788,9,7.694357114,45.0536497
1,788,10,7.694357114,45.0536497
1,788,11,7.694357114,45.0536497
1,788,14,7.694357114,45.0536497
1,788,15,7.694357114,45.0536497
1,788,16,7.694357114,45.0536497
1,788,17,7.694357114,45.0536497
3,788,18,7.694357114,45.0536497
3,788,21,7.694357114,45.0536497
1,788,23,7.694357114,45.0536497
1,817,17,7.624465829,45.05814489
2,817,20,7.624465829,45.05814489
1,818,18,7.630819582,45.05814489
1,819,1,7.637173335,45.05814489
1,819,2,7.637173335,45.05814489
1,819,10,7.637173335,45.05814489
1,819,12,7.637173335,45.05814489
1,819,13,7.637173335,45.05814489
1,819,19,7.637173335,45.05814489
2,819,20,7.637173335,45.05814489
1,819,23,7.637173335,45.05814489
1,820,3,7.643527088,45.05814489
1,820,6,7.643527088,45.05814489
1,820,10,7.643527088,45.05814489
2,820,12,7.643527088,45.05814489
1,820,14,7.643527088,45.05814489
2,820,15,7.643527088,45.05814489
2,820,16,7.643527088,45.05814489
3,820,20,7.643527088,45.05814489
1,820,21,7.643527088,45.05814489
