Longitute,Latitute,In going
7.611758322,45.0118746,2
7.618112075,45.0118746,43
7.624465829,45.0118746,22
7.630819582,45.0118746,8
7.643527088,45.0118746,40
7.649880842,45.0118746,93
7.599050816,45.0163698,1
7.605404569,45.0163698,24
7.611758322,45.0163698,62
7.618112075,45.0163698,104
7.624465829,45.0163698,63
7.630819582,45.0163698,73
7.637173335,45.0163698,4
7.643527088,45.0163698,81
7.649880842,45.0163698,91
7.656234595,45.0163698,176
7.605404569,45.020865,125
7.611758322,45.020865,43
7.618112075,45.020865,27
7.624465829,45.020865,65
7.630819582,45.020865,94
7.637173335,45.020865,110
7.643527088,45.020865,130
7.649880842,45.020865,128
7.656234595,45.020865,133
7.662588348,45.020865,55
7.630819582,45.02536019,169
7.637173335,45.02536019,209
7.643527088,45.02536019,57
7.649880842,45.02536019,179
7.656234595,45.02536019,27
7.662588348,45.02536019,76
7.630819582,45.02985539,87
7.637173335,45.02985539,90
7.643527088,45.02985539,100
7.649880842,45.02985539,84
7.656234595,45.02985539,3
7.662588348,45.02985539,233
7.668942101,45.02985539,101
7.675295855,45.02985539,26
7.611758322,45.03435059,12
7.618112075,45.03435059,132
7.624465829,45.03435059,31
7.630819582,45.03435059,95
7.637173335,45.03435059,149
7.643527088,45.03435059,204
7.649880842,45.03435059,204
7.656234595,45.03435059,2
7.662588348,45.03435059,399
7.668942101,45.03435059,74
7.675295855,45.03435059,66
7.611758322,45.03884578,84
7.618112075,45.03884578,131
7.624465829,45.03884578,94
7.630819582,45.03884578,138
7.637173335,45.03884578,265
7.643527088,45.03884578,144
7.649880842,45.03884578,244
7.656234595,45.03884578,58
7.662588348,45.03884578,114
7.668942101,45.03884578,61
7.675295855,45.03884578,151
7.618112075,45.04334098,68
7.624465829,45.04334098,132
7.630819582,45.04334098,111
7.637173335,45.04334098,194
7.643527088,45.04334098,137
7.649880842,45.04334098,142
7.656234595,45.04334098,125
7.662588348,45.04334098,204
7.668942101,45.04334098,407
7.675295855,45.04334098,145
7.681649608,45.04334098,7
7.618112075,45.04783618,34
7.624465829,45.04783618,141
7.630819582,45.04783618,190
7.637173335,45.04783618,219
7.643527088,45.04783618,159
7.649880842,45.04783618,56
7.656234595,45.04783618,319
7.662588348,45.04783618,263
7.668942101,45.04783618,428
7.675295855,45.04783618,333
7.605404569,45.05233138,286
7.618112075,45.05233138,45
7.624465829,45.05233138,156
7.630819582,45.05233138,183
7.637173335,45.05233138,145
7.643527088,45.05233138,373
7.649880842,45.05233138,411
7.656234595,45.05233138,557
7.662588348,45.05233138,389
7.668942101,45.05233138,504
7.675295855,45.05233138,562
7.681649608,45.05233138,37
7.688003361,45.05233138,69
7.624465829,45.05682657,56
7.630819582,45.05682657,145
7.637173335,45.05682657,341
7.643527088,45.05682657,355
7.649880842,45.05682657,730
7.656234595,45.05682657,695
7.662588348,45.05682657,607
7.668942101,45.05682657,486
7.675295855,45.05682657,802
7.681649608,45.05682657,245
7.688003361,45.05682657,303
7.694357114,45.05682657,10
7.618112075,45.06132177,75
7.624465829,45.06132177,102
7.630819582,45.06132177,193
7.637173335,45.06132177,259
7.643527088,45.06132177,438
7.649880842,45.06132177,542
7.656234595,45.06132177,497
7.662588348,45.06132177,522
7.668942101,45.06132177,764
7.675295855,45.06132177,968
7.681649608,45.06132177,699
7.688003361,45.06132177,449
7.694357114,45.06132177,400
7.700710868,45.06132177,294
7.707064621,45.06132177,16
7.605404569,45.06581697,13
7.611758322,45.06581697,137
7.618112075,45.06581697,124
7.624465829,45.06581697,270
7.630819582,45.06581697,195
7.637173335,45.06581697,305
7.643527088,45.06581697,509
7.649880842,45.06581697,437
7.656234595,45.06581697,488
7.662588348,45.06581697,499
7.668942101,45.06581697,1093
7.675295855,45.06581697,540
7.681649608,45.06581697,909
7.688003361,45.06581697,667
7.694357114,45.06581697,244
7.700710868,45.06581697,201
7.707064621,45.06581697,261
7.713418374,45.06581697,138
7.599050816,45.07031216,9
7.605404569,45.07031216,243
7.611758322,45.07031216,189
7.618112075,45.07031216,132
7.624465829,45.07031216,166
7.630819582,45.07031216,332
7.637173335,45.07031216,296
7.643527088,45.07031216,364
7.649880842,45.07031216,348
7.656234595,45.07031216,889
7.662588348,45.07031216,1099
7.668942101,45.07031216,1150
7.675295855,45.07031216,359
7.681649608,45.07031216,357
7.688003361,45.07031216,614
7.694357114,45.07031216,436
7.700710868,45.07031216,259
7.707064621,45.07031216,215
7.713418374,45.07031216,184
7.719772127,45.07031216,112
7.599050816,45.07480736,94
7.605404569,45.07480736,112
7.611758322,45.07480736,178
7.618112075,45.07480736,239
7.624465829,45.07480736,177
7.630819582,45.07480736,236
7.637173335,45.07480736,341
7.643527088,45.07480736,364
7.649880842,45.07480736,338
7.656234595,45.07480736,629
7.662588348,45.07480736,848
7.668942101,45.07480736,1099
7.675295855,45.07480736,400
7.681649608,45.07480736,190
7.688003361,45.07480736,480
7.694357114,45.07480736,187
7.700710868,45.07480736,124
7.707064621,45.07480736,127
7.713418374,45.07480736,153
7.719772127,45.07480736,235
7.611758322,45.07930256,99
7.618112075,45.07930256,144
7.624465829,45.07930256,126
7.630819582,45.07930256,160
7.637173335,45.07930256,181
7.643527088,45.07930256,257
7.649880842,45.07930256,337
7.656234595,45.07930256,413
7.662588348,45.07930256,484
7.668942101,45.07930256,481
7.675295855,45.07930256,307
7.681649608,45.07930256,250
7.688003361,45.07930256,232
7.694357114,45.07930256,160
7.700710868,45.07930256,2
7.707064621,45.07930256,34
7.713418374,45.07930256,1
7.719772127,45.07930256,1
7.611758322,45.08379775,94
7.618112075,45.08379775,83
7.624465829,45.08379775,101
7.630819582,45.08379775,97
7.637173335,45.08379775,65
7.643527088,45.08379775,194
7.649880842,45.08379775,284
7.656234595,45.08379775,290
7.662588348,45.08379775,247
7.668942101,45.08379775,286
7.675295855,45.08379775,169
7.681649608,45.08379775,205
7.688003361,45.08379775,227
7.694357114,45.08379775,104
7.643527088,45.08829295,107
7.649880842,45.08829295,183
7.656234595,45.08829295,127
7.662588348,45.08829295,266
7.668942101,45.08829295,190
7.675295855,45.08829295,265
7.681649608,45.08829295,190
7.688003361,45.08829295,149
7.694357114,45.08829295,173
7.700710868,45.08829295,102
7.707064621,45.08829295,40
7.649880842,45.09278815,205
7.656234595,45.09278815,91
7.662588348,45.09278815,72
7.668942101,45.09278815,121
7.675295855,45.09278815,251
7.681649608,45.09278815,107
7.688003361,45.09278815,117
7.694357114,45.09278815,106
7.700710868,45.09278815,39
7.707064621,45.09278815,168
7.713418374,45.09278815,16
7.643527088,45.09728334,35
7.649880842,45.09728334,129
7.656234595,45.09728334,144
7.662588348,45.09728334,114
7.668942101,45.09728334,153
7.675295855,45.09728334,117
7.681649608,45.09728334,80
7.688003361,45.09728334,154
7.694357114,45.09728334,147
7.700710868,45.09728334,58
7.707064621,45.09728334,42
7.713418374,45.09728334,24
7.630819582,45.10177854,95
7.637173335,45.10177854,171
7.643527088,45.10177854,101
7.649880842,45.10177854,102
7.656234595,45.10177854,125
7.662588348,45.10177854,148
7.668942101,45.10177854,194
7.675295855,45.10177854,109
7.681649608,45.10177854,79
7.688003361,45.10177854,90
7.694357114,45.10177854,134
7.700710868,45.10177854,7
7.630819582,45.10627374,87
7.637173335,45.10627374,143
7.643527088,45.10627374,85
7.649880842,45.10627374,88
7.656234595,45.10627374,140
7.662588348,45.10627374,106
7.668942101,45.10627374,66
7.675295855,45.10627374,93
7.681649608,45.10627374,4
7.688003361,45.10627374,38
7.694357114,45.10627374,186
7.637173335,45.11076893,146
7.643527088,45.11076893,54
7.649880842,45.11076893,146
7.7642484,45.14673051,
