TOTAL,AREA,HOUR,LONG,LAT,,,,,,,
2,377,10,7.624465829,45.00869773,,,,,,,
1,377,11,7.624465829,45.00869773,,,,,,,
1,377,12,7.624465829,45.00869773,,,,,,,
1,377,18,7.624465829,45.00869773,,,,,,,
1,379,10,7.637173335,45.00869773,,,,,,,
1,379,11,7.637173335,45.00869773,,,,,,,
1,379,12,7.637173335,45.00869773,,,,,,,
1,381,18,7.649880842,45.00869773,,,,,,,
1,382,6,7.656234595,45.00869773,,,,,,,
1,382,20,7.656234595,45.00869773,,,,,,,
2,382,21,7.656234595,45.00869773,,,,,,,
1,415,8,7.611758322,45.01319292,,,,,,,
1,415,10,7.611758322,45.01319292,,,,,,,
1,415,11,7.611758322,45.01319292,,,,,,,
1,415,12,7.611758322,45.01319292,,,,,,,
1,415,17,7.611758322,45.01319292,,,,,,,
1,415,18,7.611758322,45.01319292,,,,,,,
1,416,1,7.618112075,45.01319292,,,,,,,
1,416,7,7.618112075,45.01319292,,,,,,,
1,416,10,7.618112075,45.01319292,,,,,,,
1,416,11,7.618112075,45.01319292,,,,,,,
1,416,12,7.618112075,45.01319292,,,,,,,
1,416,17,7.618112075,45.01319292,,,,,,,
1,417,2,7.624465829,45.01319292,,,,,,,
1,417,16,7.624465829,45.01319292,,,,,,,
1,417,17,7.624465829,45.01319292,,,,,,,
1,418,9,7.630819582,45.01319292,,,,,,,
1,418,20,7.630819582,45.01319292,,,,,,,
2,419,0,7.637173335,45.01319292,,,,,,,
5,419,10,7.637173335,45.01319292,,,,,,,
5,419,11,7.637173335,45.01319292,,,,,,,
5,419,12,7.637173335,45.01319292,,,,,,,
1,419,21,7.637173335,45.01319292,,,,,,,
3,421,0,7.649880842,45.01319292,,,,,,,
2,421,10,7.649880842,45.01319292,,,,,,,
2,421,11,7.649880842,45.01319292,,,,,,,
2,421,12,7.649880842,45.01319292,,,,,,,
1,421,15,7.649880842,45.01319292,,,,,,,
1,421,18,7.649880842,45.01319292,,,,,,,
1,421,20,7.649880842,45.01319292,,,,,,,
1,421,21,7.649880842,45.01319292,,,,,,,
1,422,4,7.656234595,45.01319292,,,,,,,
1,422,5,7.656234595,45.01319292,,,,,,,
1,422,8,7.656234595,45.01319292,,,,,,,
2,422,10,7.656234595,45.01319292,,,,,,,
2,422,11,7.656234595,45.01319292,,,,,,,
2,422,12,7.656234595,45.01319292,,,,,,,
1,422,14,7.656234595,45.01319292,,,,,,,
1,422,16,7.656234595,45.01319292,,,,,,,
1,422,18,7.656234595,45.01319292,,,,,,,
1,423,1,7.662588348,45.01319292,,,,,,,
1,423,3,7.662588348,45.01319292,,,,,,,
1,423,9,7.662588348,45.01319292,,,,,,,
3,423,10,7.662588348,45.01319292,,,,,,,
4,423,11,7.662588348,45.01319292,,,,,,,
2,423,12,7.662588348,45.01319292,,,,,,,
2,423,18,7.662588348,45.01319292,,,,,,,
1,455,5,7.611758322,45.01768812,,,,,,,
1,455,7,7.611758322,45.01768812,,,,,,,
1,455,8,7.611758322,45.01768812,,,,,,,
1,455,10,7.611758322,45.01768812,,,,,,,
1,455,11,7.611758322,45.01768812,,,,,,,
1,455,12,7.611758322,45.01768812,,,,,,,
1,455,14,7.611758322,45.01768812,,,,,,,
1,455,18,7.611758322,45.01768812,,,,,,,
1,456,4,7.618112075,45.01768812,,,,,,,
1,456,9,7.618112075,45.01768812,,,,,,,
2,456,10,7.618112075,45.01768812,,,,,,,
2,456,11,7.618112075,45.01768812,,,,,,,
2,456,12,7.618112075,45.01768812,,,,,,,
1,457,17,7.624465829,45.01768812,,,,,,,
1,458,18,7.630819582,45.01768812,,,,,,,
1,458,20,7.630819582,45.01768812,,,,,,,
1,458,21,7.630819582,45.01768812,,,,,,,
2,459,3,7.637173335,45.01768812,,,,,,,
4,459,10,7.637173335,45.01768812,,,,,,,
1,459,11,7.637173335,45.01768812,,,,,,,
1,459,12,7.637173335,45.01768812,,,,,,,
1,459,15,7.637173335,45.01768812,,,,,,,
2,460,9,7.643527088,45.01768812,,,,,,,
1,460,10,7.643527088,45.01768812,,,,,,,
1,460,11,7.643527088,45.01768812,,,,,,,
1,460,12,7.643527088,45.01768812,,,,,,,
1,460,14,7.643527088,45.01768812,,,,,,,
1,460,15,7.643527088,45.01768812,,,,,,,
1,461,12,7.649880842,45.01768812,,,,,,,
1,461,13,7.649880842,45.01768812,,,,,,,
1,461,15,7.649880842,45.01768812,,,,,,,
2,461,18,7.649880842,45.01768812,,,,,,,
1,461,19,7.649880842,45.01768812,,,,,,,
1,461,21,7.649880842,45.01768812,,,,,,,
1,462,0,7.656234595,45.01768812,,,,,,,
1,462,3,7.656234595,45.01768812,,,,,,,
1,462,15,7.656234595,45.01768812,,,,,,,
1,462,16,7.656234595,45.01768812,,,,,,,
1,462,19,7.656234595,45.01768812,,,,,,,
1,462,21,7.656234595,45.01768812,,,,,,,
1,463,10,7.662588348,45.01768812,,,,,,,
1,463,11,7.662588348,45.01768812,,,,,,,
3,463,12,7.662588348,45.01768812,,,,,,,
1,463,17,7.662588348,45.01768812,,,,,,,
1,464,8,7.668942101,45.01768812,,,,,,,
1,464,17,7.668942101,45.01768812,,,,,,,
1,464,21,7.668942101,45.01768812,,,,,,,
1,499,8,7.637173335,45.02218332,,,,,,,
1,499,9,7.637173335,45.02218332,,,,,,,
1,499,10,7.637173335,45.02218332,,,,,,,
2,499,11,7.637173335,45.02218332,,,,,,,
2,499,12,7.637173335,45.02218332,,,,,,,
1,499,15,7.637173335,45.02218332,,,,,,,
1,499,16,7.637173335,45.02218332,,,,,,,
1,499,17,7.637173335,45.02218332,,,,,,,
1,499,18,7.637173335,45.02218332,,,,,,,
1,500,0,7.643527088,45.02218332,,,,,,,
1,500,4,7.643527088,45.02218332,,,,,,,
1,500,6,7.643527088,45.02218332,,,,,,,
1,500,7,7.643527088,45.02218332,,,,,,,
1,500,8,7.643527088,45.02218332,,,,,,,
1,500,9,7.643527088,45.02218332,,,,,,,
2,500,10,7.643527088,45.02218332,,,,,,,
1,500,11,7.643527088,45.02218332,,,,,,,
2,500,14,7.643527088,45.02218332,,,,,,,
2,500,15,7.643527088,45.02218332,,,,,,,
2,500,18,7.643527088,45.02218332,,,,,,,
1,500,19,7.643527088,45.02218332,,,,,,,
1,500,23,7.643527088,45.02218332,,,,,,,
1,501,15,7.649880842,45.02218332,,,,,,,
1,502,7,7.656234595,45.02218332,,,,,,,
1,502,16,7.656234595,45.02218332,,,,,,,
3,502,17,7.656234595,45.02218332,,,,,,,
1,502,18,7.656234595,45.02218332,,,,,,,
1,502,19,7.656234595,45.02218332,,,,,,,
1,502,20,7.656234595,45.02218332,,,,,,,
2,503,10,7.662588348,45.02218332,,,,,,,
1,503,11,7.662588348,45.02218332,,,,,,,
1,503,12,7.662588348,45.02218332,,,,,,,
5,504,10,7.668942101,45.02218332,,,,,,,
4,504,11,7.668942101,45.02218332,,,,,,,
4,504,12,7.668942101,45.02218332,,,,,,,
1,504,14,7.668942101,45.02218332,,,,,,,
1,504,16,7.668942101,45.02218332,,,,,,,
1,504,17,7.668942101,45.02218332,,,,,,,
1,539,7,7.637173335,45.02667851,,,,,,,
2,539,8,7.637173335,45.02667851,,,,,,,
1,539,9,7.637173335,45.02667851,,,,,,,
4,539,10,7.637173335,45.02667851,,,,,,,
4,539,11,7.637173335,45.02667851,,,,,,,
4,539,12,7.637173335,45.02667851,,,,,,,
1,539,14,7.637173335,45.02667851,,,,,,,
1,539,18,7.637173335,45.02667851,,,,,,,
1,539,20,7.637173335,45.02667851,,,,,,,
2,540,9,7.643527088,45.02667851,,,,,,,
2,540,10,7.643527088,45.02667851,,,,,,,
1,540,11,7.643527088,45.02667851,,,,,,,
1,540,12,7.643527088,45.02667851,,,,,,,
1,540,14,7.643527088,45.02667851,,,,,,,
1,541,7,7.649880842,45.02667851,,,,,,,
1,541,8,7.649880842,45.02667851,,,,,,,
2,541,10,7.649880842,45.02667851,,,,,,,
3,541,11,7.649880842,45.02667851,,,,,,,
2,541,17,7.649880842,45.02667851,,,,,,,
4,541,18,7.649880842,45.02667851,,,,,,,
1,544,1,7.668942101,45.02667851,,,,,,,
1,544,3,7.668942101,45.02667851,,,,,,,
1,544,8,7.668942101,45.02667851,,,,,,,
1,544,9,7.668942101,45.02667851,,,,,,,
2,544,10,7.668942101,45.02667851,,,,,,,
1,544,11,7.668942101,45.02667851,,,,,,,
1,544,12,7.668942101,45.02667851,,,,,,,
1,544,16,7.668942101,45.02667851,,,,,,,
1,544,18,7.668942101,45.02667851,,,,,,,
1,544,19,7.668942101,45.02667851,,,,,,,
3,544,20,7.668942101,45.02667851,,,,,,,
3,544,21,7.668942101,45.02667851,,,,,,,
1,544,23,7.668942101,45.02667851,,,,,,,
1,545,3,7.675295855,45.02667851,,,,,,,
1,545,19,7.675295855,45.02667851,,,,,,,
1,545,20,7.675295855,45.02667851,,,,,,,
2,545,21,7.675295855,45.02667851,,,,,,,
1,546,10,7.681649608,45.02667851,,,,,,,
1,546,11,7.681649608,45.02667851,,,,,,,
1,546,12,7.681649608,45.02667851,,,,,,,
1,546,16,7.681649608,45.02667851,,23,,,,,
1,576,15,7.618112075,45.03117371,,,,,,,
1,576,21,7.618112075,45.03117371,,,,,,,
1,577,1,7.624465829,45.03117371,,,,,,,
1,577,7,7.624465829,45.03117371,,,,,,,
1,577,8,7.624465829,45.03117371,,,,,,,
1,577,9,7.624465829,45.03117371,,,,,,,
6,577,10,7.624465829,45.03117371,,,,,,,
5,577,11,7.624465829,45.03117371,,,,,,,
7,577,12,7.624465829,45.03117371,,,,,,,
1,577,13,7.624465829,45.03117371,,,,,,,
1,577,14,7.624465829,45.03117371,,,,,,,
2,577,17,7.624465829,45.03117371,,,,,,,
1,577,18,7.624465829,45.03117371,,,,,,,
1,578,10,7.630819582,45.03117371,,,,,,,
1,578,11,7.630819582,45.03117371,,,,,,,
1,578,12,7.630819582,45.03117371,,,,,,,
1,578,21,7.630819582,45.03117371,,,,,,,
1,579,1,7.637173335,45.03117371,,,,,,,
1,579,8,7.637173335,45.03117371,,,,,,,
2,579,10,7.637173335,45.03117371,,,,,,,
3,579,11,7.637173335,45.03117371,,,,,,,
3,579,12,7.637173335,45.03117371,,,,,,,
1,580,0,7.643527088,45.03117371,,,,,,,
1,580,10,7.643527088,45.03117371,,,,,,,
1,580,11,7.643527088,45.03117371,,,,,,,
1,580,13,7.643527088,45.03117371,,,,,,,
2,580,14,7.643527088,45.03117371,,,,,,,
1,580,19,7.643527088,45.03117371,,,,,,,
1,581,5,7.649880842,45.03117371,,,,,,,
1,581,7,7.649880842,45.03117371,,,,,,,
2,581,8,7.649880842,45.03117371,,,,,,,
3,581,13,7.649880842,45.03117371,,,,,,,
1,581,17,7.649880842,45.03117371,,,,,,,
1,581,19,7.649880842,45.03117371,,,,,,,
3,581,20,7.649880842,45.03117371,,,,,,,
1,581,21,7.649880842,45.03117371,,,,,,,
1,582,2,7.656234595,45.03117371,,,,,,,
2,582,3,7.656234595,45.03117371,,,,,,,
1,582,4,7.656234595,45.03117371,,,,,,,
1,582,8,7.656234595,45.03117371,,,,,,,
3,582,10,7.656234595,45.03117371,,,,,,,
2,582,11,7.656234595,45.03117371,,,,,,,
1,582,12,7.656234595,45.03117371,,,,,,,
2,582,20,7.656234595,45.03117371,,,,,,,
2,582,21,7.656234595,45.03117371,,,,,,,
1,584,0,7.668942101,45.03117371,,,,,,,
1,584,10,7.668942101,45.03117371,,,,,,,
2,584,11,7.668942101,45.03117371,,,,,,,
2,584,12,7.668942101,45.03117371,,,,,,,
2,584,14,7.668942101,45.03117371,,,,,,,
1,584,15,7.668942101,45.03117371,,,,,,,
1,584,16,7.668942101,45.03117371,,,,,,,
3,584,17,7.668942101,45.03117371,,,,,,,
1,584,18,7.668942101,45.03117371,,,,,,,
1,584,19,7.668942101,45.03117371,,,,,,,
3,584,20,7.668942101,45.03117371,,,,,,,
1,584,23,7.668942101,45.03117371,,,,,,,
1,585,19,7.675295855,45.03117371,,,,,,,
1,585,20,7.675295855,45.03117371,,,,,,,
1,586,14,7.681649608,45.03117371,,,,,,,
1,586,15,7.681649608,45.03117371,,,,,,,
2,586,18,7.681649608,45.03117371,,,,,,,
1,586,19,7.681649608,45.03117371,,,,,,,
1,586,21,7.681649608,45.03117371,,,,,,,
1,616,1,7.618112075,45.03566891,,,,,,,
1,616,3,7.618112075,45.03566891,,,,,,,
1,616,6,7.618112075,45.03566891,,,,,,,
2,616,7,7.618112075,45.03566891,,,,,,,
1,616,8,7.618112075,45.03566891,,,,,,,
7,616,10,7.618112075,45.03566891,,,,,,,
7,616,11,7.618112075,45.03566891,,,,,,,
7,616,12,7.618112075,45.03566891,,,,,,,
1,616,15,7.618112075,45.03566891,,,,,,,
2,616,21,7.618112075,45.03566891,,,,,,,
1,617,0,7.624465829,45.03566891,,,,,,,
3,617,10,7.624465829,45.03566891,,,,,,,
3,617,11,7.624465829,45.03566891,,,,,,,
3,617,12,7.624465829,45.03566891,,,,,,,
1,617,14,7.624465829,45.03566891,,,,,,,
1,617,16,7.624465829,45.03566891,,,,,,,
1,617,17,7.624465829,45.03566891,,,,,,,
1,617,18,7.624465829,45.03566891,,,,,,,
2,617,19,7.624465829,45.03566891,,,,,,,
3,617,21,7.624465829,45.03566891,,,,,,,
1,618,7,7.630819582,45.03566891,,,,,,,
1,618,10,7.630819582,45.03566891,,,,,,,
1,618,11,7.630819582,45.03566891,,,,,,,
1,618,12,7.630819582,45.03566891,,,,,,,
1,618,14,7.630819582,45.03566891,,,,,,,
1,618,20,7.630819582,45.03566891,,,,,,,
1,619,0,7.637173335,45.03566891,,,,,,,
1,619,14,7.637173335,45.03566891,,,,,,,
1,619,17,7.637173335,45.03566891,,,,,,,
1,619,18,7.637173335,45.03566891,,,,,,,
1,619,22,7.637173335,45.03566891,,,,,,,
1,619,23,7.637173335,45.03566891,,,,,,,
1,620,0,7.643527088,45.03566891,,,,,,,
1,620,3,7.643527088,45.03566891,,,,,,,
1,620,4,7.643527088,45.03566891,,,,,,,
1,620,6,7.643527088,45.03566891,,,,,,,
1,620,9,7.643527088,45.03566891,,,,,,,
1,620,10,7.643527088,45.03566891,,,,,,,
1,620,13,7.643527088,45.03566891,,,,,,,
2,620,14,7.643527088,45.03566891,,,,,,,
1,620,16,7.643527088,45.03566891,,,,,,,
1,620,17,7.643527088,45.03566891,,,,,,,
1,620,18,7.643527088,45.03566891,,,,,,,
1,620,19,7.643527088,45.03566891,,,,,,,
3,620,20,7.643527088,45.03566891,,,,,,,
1,620,21,7.643527088,45.03566891,,,,,,,
1,621,4,7.649880842,45.03566891,,,,,,,
1,621,8,7.649880842,45.03566891,,,,,,,
1,621,9,7.649880842,45.03566891,,,,,,,
2,621,10,7.649880842,45.03566891,,,,,,,
2,621,11,7.649880842,45.03566891,,,,,,,
1,621,18,7.649880842,45.03566891,,,,,,,
1,621,21,7.649880842,45.03566891,,,,,,,
1,622,14,7.656234595,45.03566891,,,,,,,
2,622,15,7.656234595,45.03566891,,,,,,,
1,622,16,7.656234595,45.03566891,,,,,,,
1,622,17,7.656234595,45.03566891,,,,,,,
2,622,20,7.656234595,45.03566891,,,,,,,
1,623,9,7.662588348,45.03566891,,,,,,,
1,623,21,7.662588348,45.03566891,,,,,,,
1,624,3,7.668942101,45.03566891,,,,,,,
1,624,8,7.668942101,45.03566891,,,,,,,
1,624,9,7.668942101,45.03566891,,,,,,,
1,624,14,7.668942101,45.03566891,,,,,,,
1,624,20,7.668942101,45.03566891,,,,,,,
1,625,10,7.675295855,45.03566891,,,,,,,
1,625,11,7.675295855,45.03566891,,,,,,,
1,625,12,7.675295855,45.03566891,,,,,,,
1,626,2,7.681649608,45.03566891,,,,,,,
1,626,8,7.681649608,45.03566891,,,,,,,
3,626,10,7.681649608,45.03566891,,,,,,,
3,626,11,7.681649608,45.03566891,,,,,,,
2,626,12,7.681649608,45.03566891,,,,,,,
1,626,18,7.681649608,45.03566891,,,,,,,
1,657,0,7.624465829,45.0401641,,,,,,,
2,657,5,7.624465829,45.0401641,,,,,,,
2,657,10,7.624465829,45.0401641,,,,,,,
2,657,11,7.624465829,45.0401641,,,,,,,
3,657,12,7.624465829,45.0401641,,,,,,,
1,657,14,7.624465829,45.0401641,,,,,,,
2,657,16,7.624465829,45.0401641,,,,,,,
3,657,21,7.624465829,45.0401641,,,,,,,
1,658,8,7.630819582,45.0401641,,,,,,,
1,658,9,7.630819582,45.0401641,,,,,,,
2,658,10,7.630819582,45.0401641,,,,,,,
2,658,11,7.630819582,45.0401641,,,,,,,
2,658,12,7.630819582,45.0401641,,,,,,,
1,658,14,7.630819582,45.0401641,,,,,,,
1,658,15,7.630819582,45.0401641,,,,,,,
1,658,16,7.630819582,45.0401641,,,,,,,
1,658,18,7.630819582,45.0401641,,,,,,,
2,658,19,7.630819582,45.0401641,,,,,,,
1,658,20,7.630819582,45.0401641,,,,,,,
2,658,21,7.630819582,45.0401641,,,,,,,
1,659,7,7.637173335,45.0401641,,,,,,,
2,659,8,7.637173335,45.0401641,,,,,,,
1,659,9,7.637173335,45.0401641,,,,,,,
1,659,10,7.637173335,45.0401641,,,,,,,
1,659,19,7.637173335,45.0401641,,,,,,,
1,659,20,7.637173335,45.0401641,,,,,,,
1,659,21,7.637173335,45.0401641,,,,,,,
2,660,1,7.643527088,45.0401641,,,,,,,
2,660,2,7.643527088,45.0401641,,,,,,,
1,660,6,7.643527088,45.0401641,,,,,,,
1,660,7,7.643527088,45.0401641,,,,,,,
2,660,8,7.643527088,45.0401641,,,,,,,
1,660,9,7.643527088,45.0401641,,,,,,,
2,660,10,7.643527088,45.0401641,,,,,,,
1,660,13,7.643527088,45.0401641,,,,,,,
1,660,19,7.643527088,45.0401641,,,,,,,
2,660,20,7.643527088,45.0401641,,,,,,,
2,660,21,7.643527088,45.0401641,,,,,,,
2,661,10,7.649880842,45.0401641,,,,,,,
1,661,11,7.649880842,45.0401641,,,,,,,
2,661,12,7.649880842,45.0401641,,,,,,,
1,661,13,7.649880842,45.0401641,,,,,,,
1,661,16,7.649880842,45.0401641,,,,,,,
2,662,12,7.656234595,45.0401641,,,,,,,
1,662,18,7.656234595,45.0401641,,,,,,,
1,662,19,7.656234595,45.0401641,,,,,,,
1,662,20,7.656234595,45.0401641,,,,,,,
1,663,14,7.662588348,45.0401641,,,,,,,
1,663,20,7.662588348,45.0401641,,,,,,,
1,663,21,7.662588348,45.0401641,,,,,,,
1,664,7,7.668942101,45.0401641,,,,,,,
2,664,8,7.668942101,45.0401641,,,,,,,
2,664,10,7.668942101,45.0401641,,,,,,,
2,664,11,7.668942101,45.0401641,,,,,,,
1,664,12,7.668942101,45.0401641,,,,,,,
1,664,16,7.668942101,45.0401641,,,,,,,
1,664,18,7.668942101,45.0401641,,,,,,,
1,664,19,7.668942101,45.0401641,,,,,,,
3,665,0,7.675295855,45.0401641,,,,,,,
2,665,1,7.675295855,45.0401641,,,,,,,
1,665,2,7.675295855,45.0401641,,,,,,,
2,665,7,7.675295855,45.0401641,,,,,,,
2,665,8,7.675295855,45.0401641,,,,,,,
1,665,9,7.675295855,45.0401641,,,,,,,
5,665,10,7.675295855,45.0401641,,,,,,,
6,665,11,7.675295855,45.0401641,,,,,,,
6,665,12,7.675295855,45.0401641,,,,,,,
2,665,13,7.675295855,45.0401641,,,,,,,
2,665,14,7.675295855,45.0401641,,,,,,,
1,665,16,7.675295855,45.0401641,,,,,,,
3,665,17,7.675295855,45.0401641,,,,,,,
1,665,18,7.675295855,45.0401641,,,,,,,
2,665,19,7.675295855,45.0401641,,,,,,,
3,665,20,7.675295855,45.0401641,,,,,,,
2,665,23,7.675295855,45.0401641,,,,,,,
1,666,8,7.681649608,45.0401641,,,,,,,
1,666,9,7.681649608,45.0401641,,,,,,,
1,666,10,7.681649608,45.0401641,,,,,,,
1,666,11,7.681649608,45.0401641,,,,,,,
1,666,14,7.681649608,45.0401641,,,,,,,
2,666,18,7.681649608,45.0401641,,,,,,,
2,666,20,7.681649608,45.0401641,,,,,,,
1,667,21,7.688003361,45.0401641,,,,,,,
1,697,1,7.624465829,45.0446593,,,,,,,
1,697,4,7.624465829,45.0446593,,,,,,,
1,697,10,7.624465829,45.0446593,,,,,,,
1,697,11,7.624465829,45.0446593,,,,,,,
1,697,12,7.624465829,45.0446593,,,,,,,
2,698,18,7.630819582,45.0446593,,,,,,,
2,698,19,7.630819582,45.0446593,,,,,,,
3,698,21,7.630819582,45.0446593,,,,,,,
1,698,22,7.630819582,45.0446593,,,,,,,
1,698,23,7.630819582,45.0446593,,,,,,,
1,699,5,7.637173335,45.0446593,,,,,,,
1,699,8,7.637173335,45.0446593,,,,,,,
1,699,9,7.637173335,45.0446593,,,,,,,
1,699,10,7.637173335,45.0446593,,,,,,,
2,699,11,7.637173335,45.0446593,,,,,,,
1,699,12,7.637173335,45.0446593,,,,,,,
1,699,14,7.637173335,45.0446593,,,,,,,
1,699,18,7.637173335,45.0446593,,,,,,,
2,699,19,7.637173335,45.0446593,,,,,,,
1,699,21,7.637173335,45.0446593,,,,,,,
1,700,10,7.643527088,45.0446593,,,,,,,
1,700,11,7.643527088,45.0446593,,,,,,,
1,700,14,7.643527088,45.0446593,,,,,,,
2,700,19,7.643527088,45.0446593,,,,,,,
1,700,21,7.643527088,45.0446593,,,,,,,
1,701,0,7.649880842,45.0446593,,,,,,,
1,701,2,7.649880842,45.0446593,,,,,,,
1,701,7,7.649880842,45.0446593,,,,,,,
1,701,8,7.649880842,45.0446593,,,,,,,
1,701,11,7.649880842,45.0446593,,,,,,,
2,701,12,7.649880842,45.0446593,,,,,,,
2,701,13,7.649880842,45.0446593,,,,,,,
1,701,14,7.649880842,45.0446593,,,,,,,
3,701,17,7.649880842,45.0446593,,,,,,,
1,701,20,7.649880842,45.0446593,,,,,,,
1,701,21,7.649880842,45.0446593,,,,,,,
